date,FUR01_Z1_TEMP_L,FUR01_Z1_TEMP_R,FUR01_Z2_TEMP_L,FUR01_Z2_TEMP_R,FUR01_Z3_TEMP_L,FUR01_Z3_TEMP_R,FUR01_MAT_TEMP,FUR01_EXH_TEMP,FUR01_LINE_SPEED
2026-01-01,1195.0,1200.0,1225.0,1228.0,1248.0,1251.0,1182.0,640.0,12.0
2026-01-02,1196.0,1201.0,1226.0,1229.0,1249.0,1252.0,1183.0,641.0,12.0
2026-01-03,1194.0,1200.0,1224.0,1228.0,1247.0,1251.0,1181.0,640.0,12.0
2026-01-04,1195.0,1199.0,1225.0,1227.0,1248.0,1250.0,1182.0,639.0,12.0
2026-01-05,1196.0,1201.0,1226.0,1229.0,1249.0,1252.0,1183.0,641.0,12.0
2026-01-06,1194.0,1200.0,1224.0,1228.0,1247.0,1251.0,1181.0,640.0,12.0
2026-01-07,1195.0,1199.0,1225.0,1227.0,1248.0,1250.0,1182.0,639.0,12.0
2026-01-08,1196.0,1201.0,1226.0,1229.0,1249.0,1252.0,1183.0,641.0,12.0
2026-01-09,1195.0,1200.0,1225.0,1228.0,1248.0,1251.0,1182.0,640.0,12.0
2026-01-10,1194.0,1200.0,1224.0,1228.0,1247.0,1251.0,1181.0,640.0,12.0
2026-01-11,1195.0,1200.0,1225.0,1228.0,1248.0,1251.0,1182.0,640.0,12.0
2026-01-12,1196.0,1201.0,1226.0,1229.0,1249.0,1252.0,1183.0,641.0,12.0
2026-01-13,1194.0,1200.0,1224.0,1228.0,1247.0,1251.0,1181.0,640.0,12.0
2026-01-14,1195.0,1199.0,1225.0,1227.0,1248.0,1250.0,1182.0,639.0,12.0
2026-01-15,1196.0,1201.0,1226.0,1229.0,1249.0,1252.0,1183.0,641.0,12.0
2026-01-16,1194.0,1200.0,1224.0,1228.0,1247.0,1251.0,1181.0,640.0,12.0
2026-01-17,1195.0,1199.0,1225.0,1227.0,1248.0,1250.0,1182.0,639.0,12.0
2026-01-18,1196.0,1201.0,1226.0,1229.0,1249.0,1252.0,1183.0,641.0,12.0
2026-01-19,1195.0,1200.0,1225.0,1228.0,1248.0,1251.0,1182.0,640.0,12.0
2026-01-20,1194.0,1200.0,1224.0,1228.0,1247.0,1251.0,1181.0,640.0,12.0
2026-01-21,1195.0,1200.0,1224.5,1228.0,1248.0,1251.0,1182.0,640.0,12.0
2026-01-22,1196.0,1201.0,1225.0,1229.0,1249.0,1252.0,1183.0,641.0,12.0
2026-01-23,1194.0,1200.0,1222.5,1228.0,1247.0,1251.0,1181.0,640.0,12.0
2026-01-24,1195.0,1199.0,1223.0,1227.0,1248.0,1250.0,1181.5,639.0,12.0
2026-01-25,1196.0,1201.0,1223.5,1229.0,1249.0,1252.0,1182.5,641.0,12.0
2026-01-26,1194.0,1200.0,1221.0,1228.0,1247.0,1251.0,1180.5,640.0,12.0
2026-01-27,1195.0,1199.0,1221.5,1227.0,1248.0,1250.0,1181.5,639.0,12.0
2026-01-28,1196.0,1201.0,1222.0,1229.0,1249.0,1252.0,1182.5,641.0,12.0
2026-01-29,1195.0,1200.0,1220.5,1228.0,1248.0,1251.0,1181.5,640.0,12.0
2026-01-30,1194.0,1200.0,1219.0,1228.0,1247.0,1251.0,1180.5,640.0,12.0
2026-01-31,1195.0,1200.0,1219.5,1228.0,1248.0,1251.0,1181.0,640.0,12.0
2026-02-01,1196.0,1201.0,1220.0,1229.0,1249.0,1252.0,1182.0,641.0,12.0
2026-02-02,1194.0,1200.0,1217.5,1228.0,1247.0,1251.0,1180.0,640.0,12.0
2026-02-03,1195.0,1199.0,1218.0,1227.0,1248.0,1250.0,1181.0,639.0,12.0
2026-02-04,1196.0,1201.0,1218.5,1229.0,1249.0,1252.0,1182.0,641.0,12.0
2026-02-05,1194.0,1200.0,1216.0,1228.0,1247.0,1251.0,1180.0,640.0,12.0
2026-02-06,1195.0,1199.0,1216.5,1227.0,1248.0,1250.0,1180.5,639.0,12.0
2026-02-07,1196.0,1201.0,1217.0,1229.0,1249.0,1252.0,1181.5,641.0,12.0
2026-02-08,1195.0,1200.0,1215.5,1228.0,1248.0,1251.0,1180.5,640.0,12.0
2026-02-09,1194.0,1200.0,1214.0,1228.0,1247.0,1251.0,1179.5,640.0,12.0
2026-02-10,1195.0,1200.0,1214.5,1228.0,1248.0,1251.0,1180.5,640.0,12.0
2026-02-11,1196.0,1201.0,1215.0,1229.0,1249.0,1252.0,1181.5,641.0,12.0
2026-02-12,1194.0,1200.0,1212.5,1228.0,1247.0,1251.0,1179.5,640.0,12.0
2026-02-13,1195.0,1199.0,1213.0,1227.0,1248.0,1250.0,1180.0,639.0,12.0
2026-02-14,1196.0,1201.0,1213.5,1229.0,1249.0,1252.0,1172.0,641.0,14.0
2026-02-15,1194.0,1200.0,1211.0,1228.0,1247.0,1251.0,1170.0,640.0,14.0
