date,HYD01_PRESS_PUMP,HYD01_PRESS_FILT_IN,HYD01_PRESS_FILT_OUT,HYD01_FLOW,HYD01_OILTEMP,HYD01_LEVEL,HYD01_PUMP_CURRENT
2026-01-01,152.0,150.0,147.5,118.0,42.0,88.0,31.5
2026-01-02,153.0,151.0,148.5,118.5,42.0,88.0,31.5
2026-01-03,152.0,150.0,147.5,117.5,42.5,88.0,31.0
2026-01-04,151.0,149.0,146.0,118.0,42.5,88.0,32.0
2026-01-05,153.0,151.0,148.0,118.5,42.5,88.0,31.5
2026-01-06,152.0,150.0,147.0,117.5,42.0,88.0,31.0
2026-01-07,154.0,152.0,149.0,118.0,42.5,88.0,31.5
2026-01-08,152.0,150.0,147.0,118.5,42.5,88.0,32.0
2026-01-09,151.0,149.0,146.0,117.0,42.0,88.0,31.0
2026-01-10,153.0,151.0,147.5,118.0,43.0,88.0,31.5
2026-01-11,152.0,150.0,146.5,118.0,42.0,88.0,31.5
2026-01-12,153.0,151.0,147.5,118.5,42.0,88.0,31.5
2026-01-13,152.0,150.0,146.5,117.5,42.5,88.0,31.0
2026-01-14,151.0,149.0,145.5,118.0,42.5,88.0,32.0
2026-01-15,153.0,151.0,147.5,118.5,42.5,88.0,31.5
2026-01-16,152.0,150.0,146.0,117.5,42.0,88.0,31.0
2026-01-17,154.0,152.0,148.0,118.0,42.5,88.0,31.5
2026-01-18,152.0,150.0,146.0,118.5,42.5,88.0,32.0
2026-01-19,151.0,149.0,145.0,117.0,42.0,88.0,31.0
2026-01-20,153.0,151.0,147.0,118.0,43.0,88.0,31.5
2026-01-21,152.0,150.0,146.0,118.0,42.0,88.0,31.5
2026-01-22,153.0,151.0,146.5,118.5,42.0,88.0,31.5
2026-01-23,152.0,150.0,145.5,117.5,42.5,88.0,31.0
2026-01-24,151.0,149.0,144.5,118.0,42.5,88.0,32.0
2026-01-25,153.0,151.0,146.5,118.5,42.5,88.0,31.5
2026-01-26,152.0,150.0,145.5,117.5,42.0,88.0,31.0
2026-01-27,154.0,152.0,147.5,118.0,42.5,88.0,31.5
2026-01-28,152.0,150.0,145.0,118.5,42.5,88.0,32.0
2026-01-29,151.0,149.0,144.0,117.0,42.0,88.0,31.0
2026-01-30,153.0,151.0,146.0,118.0,43.0,88.0,31.5
2026-01-31,152.0,150.0,147.5,118.0,42.0,88.0,31.5
2026-02-01,153.0,151.0,148.5,118.5,42.0,88.0,31.5
2026-02-02,152.0,150.0,147.5,117.5,42.5,88.0,31.0
2026-02-03,151.0,149.0,146.0,118.0,42.5,88.0,32.0
2026-02-04,153.0,151.0,148.0,118.5,42.5,88.0,31.5
2026-02-05,152.0,150.0,147.0,117.5,42.0,88.0,31.0
